"Rank","Player","REC","TGT","ReYDS","Y/R","LG","20+","ReTD","ATT","RuYDS","RuTD","FL","G","FPTS","FPTS/G","ROST"
"157","Brandon Johnson (DEN)","6","14","42","7.0","12","0","1","0","0","0","1","5","14.2","2.8","0.0%"
"158","Dee Eskridge (SEA)","7","13","58","8.3","16","0","0","2","10","0","0","9","13.8","1.5","0.5%"
"159","Jalen Virgil (DEN)","2","5","75","37.5","66","4","1","0","0","0","1","7","13.5","1.9","0.0%"
"160","James Proche II (BAL)","8","17","62","7.8","12","0","0","0","0","0","0","12","13.2","1.1","0.1%"
"161","Gunner Olszewski (PIT)","5","7","53","10.6","31","2","0","8","39","0","1","15","12.2","0.8","0.6%"
"162","Jamison Crowder (NYG)","6","13","60","10.0","16","0","0","0","0","0","0","4","12.0","3.0","0.3%"
"163","Kyle Philips (TEN)","8","13","78","9.8","21","2","0","0","0","0","2","4","11.8","3.0","0.6%"
"164","Trent Taylor (CIN)","6","10","62","10.3","34","2","0","4","15","0","1","16","11.7","0.7","0.6%"
"165","Andre Baccellia (ARI)","7","10","45","6.4","11","0","0","0","0","0","0","5","11.5","2.3","0.0%"
"166","Freddie Swain (MIA)","4","6","74","18.5","52","4","0","0","0","0","0","3","11.4","3.8","0.1%"
"167","John Brown (FA)","1","2","42","42.0","42","3","1","0","0","0","0","2","11.2","5.6","0.0%"
"168","Deven Thompkins (TB)","5","10","32","6.4","13","0","0","2","26","0","0","5","10.8","2.2","0.1%"
"169","Jake Kumerow (FA)","4","7","64","16.0","39","2","0","0","0","0","0","5","10.4","2.1","0.0%"
"170","Laquon Treadwell (FA)","6","10","42","7.0","17","0","0","0","0","0","0","3","10.2","3.4","0.0%"
"171","Cole Beasley (BUF)","6","8","35","5.8","9","0","0","0","0","0","0","5","9.5","1.9","0.1%"
"172","Kevin White (FA)","2","5","74","37.0","64","4","0","0","0","0","0","6","9.4","1.6","0.0%"
"173","Michael Woods II (CLE)","5","10","45","9.0","15","0","0","1","-5","0","0","8","9.0","1.1","0.1%"
"174","Mike Strachan (IND)","3","9","59","19.7","23","2","0","0","0","0","0","6","8.9","1.5","0.1%"
"175","Chris Conley (SF)","4","7","46","11.5","27","1","0","0","0","0","0","4","8.6","2.2","0.1%"
"176","Jalen Guyton (LAC)","2","4","64","32.0","54","4","0","0","0","0","0","2","8.4","4.2","0.1%"
"177","Cody Hollister (TEN)","3","5","54","18.0","27","2","0","0","0","0","0","6","8.4","1.4","0.0%"
"178","Mike Thomas (BAL)","2","10","38","19.0","33","2","0","0","0","0","0","5","7.8","1.6","0.1%"
"179","Tylan Wallace (BAL)","4","7","33","8.3","12","0","0","0","0","0","0","6","7.3","1.2","0.6%"
"180","Racey McMath (TEN)","2","8","40","20.0","39","2","0","1","4","0","0","4","6.4","1.6","0.1%"
"181","Tim Jones (JAC)","3","4","30","10.0","20","1","0","0","0","0","0","7","6.0","0.9","0.1%"
"182","Simi Fehoko (DAL)","3","4","24","8.0","12","0","0","0","0","0","0","3","5.4","1.8","0.1%"
"183","Montrell Washington (DEN)","4","9","2","0.5","4","0","0","5","30","0","1","15","5.2","0.3","0.1%"
"184","Penny Hart (ATL)","3","4","20","6.7","15","0","0","0","0","0","0","3","5.0","1.7","0.0%"
